group_id,sample_name,lengths,avgindex,d18O_cal_mean,dD_cal_mean,d18O_cal_opt,dD_cal_opt
7,Colon Norte 27-Apr-2021,8,231.0,0.5026382889253818,7.4700069804465,0.47003418754098925,3.9773444732392846
8,Colon Norte 0.5m 8-Jun-2021,8,239.0,0.3455868826260957,3.3030565706811403,0.3497494226346365,3.3769959072504383
9,Colon Norte 21-Jun-2021,8,247.0,0.6222457940194426,5.556208976195854,0.6231582822745472,4.7226080523547775
10,Pastores 21-Jan-2020,8,255.0,0.1165969247831724,2.738319788292915,0.1251238125074079,3.207213591555102
12,Pastores 0.5m 18-Feb-2020,8,271.0,0.6564387870794397,5.574302653058187,0.6611907843635678,5.379887607961738
13,Pastores 0.5m 4-Feb-2020,8,279.0,0.5442973234858655,5.007683643403754,0.5485252303649117,4.816206040190492
14,Pastores 0.5m 3-Mar-2020,8,287.0,0.7675710941691931,6.039570135945332,0.7729009057667477,5.859274576233053
15,Pastores 0.5m 17-Mar-2020,8,295.0,0.837096725672414,6.482378113574915,0.8427831159000339,6.310226310870156
16,PA 200929,8,303.0,0.5349512565346994,4.145964060289509,0.5391924724143948,3.967621638876432
19,Pastores 6-Oct-2020,8,327.0,0.14113790081411337,1.746970063929,0.14352864053256242,1.573834033894654
20,Pastores OVD 6-Oct-2020,8,335.0,0.02628209428419437,0.7816598802448969,0.0281355852555214,0.6094049651721889
21,Pastores 0.5m 20-Oct-2020,8,343.0,0.43199848661755946,3.519550828572699,0.43583831086883906,3.3672770052850307
22,Pastores 2-Nov-2020,8,351.0,0.3270306436414676,2.920445871404741,0.330381153105916,2.7709419374362803
24,Pastores 17-Nov-2020,8,367.0,0.42536676260273776,3.5879137669973034,0.4292330541967073,3.453572206190014
25,Pastores 1-Dec-2020,8,375.0,0.20135559370409295,2.19733299768155,0.20415548322459265,2.0616791364529137
26,Pastores 0.5m 15-Dec-2020,8,383.0,-0.07829960538962166,0.4035327101372683,-0.07683586395442443,0.26448686575378755
27,Pastores 18-Jan-2021,8,391.0,0.21884306948994814,2.2802507225609796,0.2217668105234738,2.1567443038119967
28,Pastores 2-Feb-2021,8,399.0,0.34808424559275664,3.1817996559876702,0.35165404878124074,3.0688030395435906
31,Pastores 0.5m 15-Feb-2021,8,423.0,0.2697163154031075,3.648459999381176,0.2729648297517795,3.5554499413988543
32,Pastores 13-Mar-2021,8,431.0,0.596716762582471,5.045961064847737,0.6015700182919177,4.966018778313716
33,Pastores 0.5m 30-Mar-2021,8,439.0,0.5892713836764845,5.320629653528514,0.5941080850309879,5.247963912549665
34,Pastores 12-Apr-2021,8,447.0,0.4338943147397025,4.672894217355453,0.4379973320980488,4.602747544584886
36,Pastores 27-Apr-2021,8,463.0,0.08843536360858684,2.0998396273409172,0.0909027741728139,2.028141705607198
