group_id,sample_name,lengths,avgindex,d18O_cal_mean,dD_cal_mean,d18O_cal_opt,dD_cal_opt
7,Drago 0.5m 12-Oct-2021,8,231.0,,,,
8,STRI 6-Oct-2020,8,239.0,0.4388180865016036,3.567796212236316,0.4374982971048029,3.6237724845648414
9,STRI 0.5m 20-Oct-2020,8,247.0,0.4194947707001355,3.742625189017163,0.41810284622029026,3.7551811074110697
10,STRI 2-Nov-2020,8,255.0,-0.3766400689086149,-2.9972676048851046,-0.38051563792953647,-1.8685565344153916
12,STRI 17-Nov-2020,8,271.0,0.3775996073554557,3.289471449943325,0.3762069435526014,3.340599770303905
13,STRI 1-Dec-2020,8,279.0,0.2348422063828961,2.376492304975611,0.23363070016571452,2.422830504910042
14,STRI 0.5m 15-Dec-2020,8,287.0,0.025227894986570076,1.0404630201410132,0.02428157426395572,1.0802964928619598
15,STRI 5-Jan-2021,8,295.0,0.3343376938258067,2.6129280085574926,0.33300460950229716,2.658044775275422
16,STRI 18-Jan-2021,8,303.0,0.23083929257883118,2.746865326762438,0.22963802387123655,2.7914350872961693
19,STRI 2-Feb-2021,8,327.0,0.27289768043300144,3.2223622801929164,0.27164875791404053,3.2655896647868037
20,STRI 0.5m 15-Feb-2021,8,335.0,0.41855788140483097,4.311846663039124,0.41712762398084746,4.358399838850955
21,STRI 15-Mar-2021,8,343.0,0.6571180916282908,5.199139409135208,0.6553897395886692,5.248198900835595
22,STRI 0.5m 30-Mar-2021,8,351.0,0.648268862987055,5.317357260926148,0.6465533684481406,5.365806036018286
24,STRI 12-Apr-2021,8,367.0,0.4607072088721065,4.338678210705529,0.4592309188473205,4.380980736801842
25,STRI 27-Apr-2021,8,375.0,0.3358301444082288,3.4060497327203088,0.33451253938882997,3.443482500360406
26,STRI 11-May-2021,8,383.0,0.5199719391704827,3.6003105032889913,0.5184246343450114,3.637440753497196
27,STRI 0.5m 25-May-2021,8,391.0,0.5363884034219497,4.428655250332561,0.5348222013641728,4.468052902339122
28,STRI 0.5m 8-Jun-2021,8,399.0,0.302674508035661,3.2032517103865175,0.30140378060240214,3.23659299728887
31,STRI 5-Jul-2021,8,423.0,0.14843789726191026,1.9032349323552555,0.14736622586607417,1.928037750920942
32,STRI 20-Jul-2021,8,431.0,0.34462948401914506,3.0575621141592286,0.3433129682522613,3.0859535294420777
33,STRI 2-Aug-2021,8,439.0,-0.08071497438410269,1.0334131870516128,-0.08149516808992874,1.0525109513080437
34,STRI 0.5m 16-Aug-2021,8,447.0,0.14190841416857536,1.944874612759226,0.1408501557556272,1.9665766476811966
36,STRI 0.5m 1-Sep-2021,8,463.0,-0.1191181008190012,-0.18093249902332786,-0.11984482172490751,-0.17002598129247337
37,STRI 16-Sep-2021,8,471.0,-0.04808886962253878,0.06873939065471868,-0.04890312683749287,0.07956797019846817
38,STRI 0.5m 28-Sep-2021,8,479.0,0.2905623547527809,2.6904787622059585,0.2893242053260243,2.71084330655225
39,STRI 0.5m 12-Oct-2021,8,487.0,0.32349869512639917,2.8886693993781467,0.3222208857572908,2.9087473538985575
