group_id,sample_name,lengths,avgindex,d18O_cal_mean,dD_cal_mean,d18O_cal_opt,dD_cal_opt
7,Almirante 0.5m 17-Mar-2020,8,543.0,0.8139545378718658,6.933179852169112,0.7559826208799678,5.9297766636505225
8,Almirante 2-Nov-2020,8,551.0,0.3256222226812071,2.484612705897966,0.32996821302321644,2.6814369537118816
9,Almirante 17-Nov-2020,8,559.0,0.5745519551715215,3.90614588086308,0.5675627825957053,3.706447192178084
10,Almirante 1-Dec-2020,8,567.0,0.22836564220280953,2.3067505852229093,0.23061405952221614,2.333727759352641
12,Almirante 0.5m 15-Dec-2020,8,583.0,-0.02991908737936866,0.6653890270156726,-0.032969235472002145,0.5996842326725904
13,Almirante 5-Jan-2021,8,591.0,0.1944818985886949,2.28745022917785,0.19157543757189854,2.1968573407740877
14,Almirante 18-Jan-2021,8,599.0,0.2436067181512236,2.6371767368373433,0.24075298420458413,2.5418548293347927
15,Almirante 2-Feb-2021,8,607.0,0.4718812105591881,3.858858489393362,0.4691731738542573,3.74499216404417
16,Almirante 0.5m 15-Feb-2021,8,615.0,0.4605793296592564,4.164987234808027,0.457892661436889,4.04708266029744
19,Almirante 15-Mar-2021,8,639.0,0.5847127497074329,5.2191665011631985,0.5821722017003084,5.086995652620311
20,Almirante 0.5m 30-Mar-2021,8,647.0,0.638679452319838,5.627889980667752,0.6361941440902095,5.4900553555419895
21,Almirante 12-Apr-2021,8,655.0,0.5485517153679131,5.110660986807415,0.5460468687453652,4.981833524594779
22,Almirante 27-Apr-2021,8,663.0,0.26242455255698105,3.353895614995544,0.25979845314842187,3.2537147288701673
24,Almirante 11-May-2021,8,679.0,0.3672591526298701,3.3835830075717537,0.36474192464360633,3.2845559571952627
25,Almirante 0.5m 25-May-2021,8,687.0,0.44214279001774237,4.135288882717947,0.43969165670468024,4.025163787673131
26,Almirante 0.5m 8-Jun-2021,8,695.0,0.23929601566468883,3.0644883021893534,0.2367668481318499,2.9721412470608923
27,Almirante 21-Jun-2021,8,703.0,0.18267410941791073,2.1288807825667346,0.18014279142694023,2.0521697468148217
28,Almirante 5-Jul-2021,8,711.0,0.21766063047479922,2.294816723698724,0.21517470244855508,2.2162886760611613
31,Almirante 20-Jul-2021,8,735.0,0.19266405258677444,2.606034124276234,0.1902468533897248,2.525011409566984
32,Almirante 2-Aug-2021,8,743.0,-0.534849169050915,-1.8221941285741343,-0.5376166794350203,-1.8322431808489108
33,Almirante 0.5m 16-Aug-2021,8,751.0,-0.2688079888539118,-0.23373120190338126,-0.2714102028790626,-0.26813601177332513
34,Almirante 0.5m 1-Sep-2021,8,759.0,-0.255319428538476,-1.378128004937003,-0.2578874090194866,-1.3935887045375628
36,Almirante 16-Sep-2021,8,775.0,-0.13169832223206512,0.09348537747957009,-0.1341476819863041,0.05633240698293385
37,Almirante 0.5m 28-Sep-2021,8,783.0,0.1800502339557739,2.228120270621061,0.17778989051777172,2.1579579062952234
38,Almirante 0.5m 12-Oct-2021,8,791.0,0.44512303754280125,3.3342079563077727,0.44302748792228597,3.2473326650702132
