group_id,sample_name,lengths,avgindex,d18O_cal_mean,dD_cal_mean,d18O_cal_opt,dD_cal_opt
7,Drago 0.5m 15-Feb-2021,8,1016.0,,,,
8,Drago 15-Mar-2021,8,1024.0,0.13934023309113286,4.106544330150655,0.13562044827735775,3.642824583722984
9,Drago 0.5m 30-Mar-2021,8,1032.0,0.5332517746394885,6.53879124305746,0.5293418351854768,6.204493606413507
10,Drago 12-Apr-2021,8,1040.0,0.5888081867871762,7.379983053119588,0.5865460953339436,7.423020778163448
12,Drago 27-Apr-2021,8,1056.0,1.21725824845457,12.255560264412338,1.2153388292931737,12.10652532809587
13,Drago 11-May-2021,8,1064.0,1.4776011071756088,14.363963100365993,1.4760636877766586,14.23816559906578
14,Drago 0.5m 25-May-2021,8,1072.0,1.7339840171211094,16.453444011232364,1.7328246307524537,16.350738678934476
15,Drago 0.5m 8-Jun-2021,8,1080.0,1.9491288398178597,18.33080739956216,1.9483061777516113,18.249565783197397
16,Drago 5-Jul-2021,8,1088.0,2.1096536794037135,19.840975748879146,2.1091130280929846,19.778378845655254
19,Drago 20-Jul-2021,8,1112.0,3.0090710689597273,26.61510007366627,3.0097950085491973,26.625661859039155
20,Drago 2-Aug-2021,8,1120.0,2.906054490035423,26.416124972163345,2.906796447516733,26.432210160070838
21,Drago 0.5m 16-Aug-2021,8,1128.0,3.417922370982211,29.87511449007252,3.4192982841093382,29.924805737903853
22,Drago 0.5m 1-Sep-2021,8,1136.0,3.92036830484237,33.328070930417596,3.9223687355284795,33.41132192147268
24,Drago 16-Sep-2021,8,1152.0,4.261081177933995,36.724926515208836,4.263665327008027,36.84835751569267
25,Drago 0.5m 28-Sep-2021,8,1160.0,4.503126342312868,39.491209036443934,4.5060741621111475,39.64292809755892
26,Drago 0.5m 12-Oct-2021,8,1168.0,,,,
27,Stri 0.5m 21-Jan-2020,8,1176.0,-0.5903029043001453,1.3796682880722528,-0.5922148168928345,1.252902146049962
28,Stri 0.5m 4-Feb-2020,8,1184.0,-2.3006490362208183,-13.524384914242546,-2.3041530138224218,-13.758520399602332
31,Stri 0.5m 18-Feb-2020,8,1208.0,-3.3224895525911293,-21.11419557709928,-3.3266534883039753,-21.385446120874462
32,Stri 0.5m 3-Mar-2020,8,1216.0,-3.215765396369534,-19.88785610409178,-3.2197012141705272,-20.142640924934994
33,ST 200929,8,1224.0,-3.318781975293838,-20.15909102096424,-3.3226997752029916,-20.40890718702184
34,Stri OVD 6-Oct-2020,8,1232.0,-3.2616254537453955,-19.124713106813374,-3.2653647882864902,-19.35953726312374
